time,value
1536523995.732,1906
1536523995.784,1860
1536523995.846,1848
1536523995.897,1849
1536523995.944,1851
1536523996.0,1851
1536523996.045,1849
1536523996.093,1844
1536523996.14,1858
1536523996.185,1843
1536523996.23,1849
1536523996.28,1870
1536523996.327,1850
1536523996.372,1853
1536523996.428,1856
1536523996.473,1853
1536523996.528,1848
1536523996.576,1867
1536523996.629,1849
1536523996.675,1832
1536523996.724,1858
1536523996.784,1858
1536523996.83,1847
1536523996.876,1831
1536523996.92,1844
1536523996.965,1855
1536523997.008,1863
1536523997.057,1853
1536523997.106,1837
1536523997.151,1850
1536523997.196,1844
1536523997.241,1860
1536523997.289,1858
1536523997.332,1853
1536523997.376,1851
1536523997.421,1852
1536523997.468,1858
1536523997.516,1843
1536523997.559,1844
1536523997.605,1847
1536523997.654,1854
1536523997.7,1864
1536523997.748,2021
1536523997.804,2041
1536523997.853,2044
1536523997.9,2041
1536523997.946,2041
1536523997.991,2055
1536523998.044,2038
1536523998.087,2045
1536523998.135,2050
1536523998.184,2045
1536523998.227,2058
1536523998.27,2055
1536523998.323,2041
1536523998.368,2057
1536523998.412,2060
1536523998.461,2044
1536523998.509,2045
1536523998.555,2044
1536523998.602,2058
1536523998.65,2050
1536523998.697,2050
1536523998.747,2053
1536523998.792,2045
1536523998.836,2042
1536523998.884,2049
1536523998.931,2038
1536523998.98,2048
1536523999.028,2052
1536523999.073,2048
1536523999.122,2044
1536523999.164,2048
1536523999.21,2059
1536523999.252,2053
1536523999.296,2036
1536523999.34,2042
1536523999.385,2044
1536523999.43,2054
1536523999.477,2076
1536523999.523,2067
1536523999.569,2067
1536523999.613,2086
1536523999.656,2068
1536523999.7,2081
1536523999.744,2068
1536523999.79,2084
1536523999.837,2092
1536523999.88,2081
1536523999.923,2099
1536523999.968,2111
1536524000.011,2116
1536524000.052,2120
1536524000.094,2138
1536524000.14,2105
1536524000.187,2118
1536524000.246,2122
1536524000.289,2121
1536524000.333,2134
1536524000.375,2149
1536524000.422,2149
1536524000.485,2131
1536524000.539,2141
1536524000.587,2128
1536524000.638,2152
1536524000.688,2191
